level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,page
5,1,1,1,1,1,118,147,72,35,90.945824,PROG:,1
5,1,1,1,1,2,213,147,128,35,70.103088,AR-ARAGE,1
5,1,1,1,1,3,1000,147,78,35,95.998123,CARGO,1
5,1,1,1,1,4,1098,147,138,42,94.474182,"SERVICES,",1
5,1,1,1,1,5,1260,147,56,35,94.474182,INC.,1
5,1,1,1,1,6,1979,146,62,35,96.604607,PAGE,1
5,1,1,1,1,7,2060,146,42,36,84.044235,NO.,1
5,1,1,1,1,8,2126,145,28,36,94.226784,34,1
5,1,2,1,1,1,118,194,72,35,62.642632,USER:,1
5,1,2,1,1,2,215,194,110,35,75.739838,SFUGATE,1
5,1,2,1,1,3,721,194,114,35,95.146683,AGED,1
5,1,2,1,1,4,885,193,469,36,93.226021,ACCOUNTS,1
5,1,2,1,1,5,1160,163,26,76,92.105743,-,1
5,1,2,1,1,6,1217,193,137,36,95.826042,SHORT,1
5,1,2,1,1,7,1406,194,177,36,96.03997,FORMAT,1
5,1,2,1,1,8,1855,196,198,2,53.340637,DATE:,1
5,1,2,1,1,9,2077,191,125,40,60.986462,0/19/26,1
5,1,2,1,2,1,984,240,62,35,95.567596,BASE,1
5,1,2,1,2,2,1065,241,47,34,95.567596,REF,1
5,1,2,1,2,3,1131,241,61,34,95.031967,DATE,1
5,1,2,1,2,4,1211,241,126,39,89.306824,02/19/26,1
5,1,2,1,2,5,1978,240,75,34,80.436272,TIME:,1
5,1,2,1,2,6,2079,239,123,35,87.444275,14:37:11,1
5,1,2,1,3,1,984,287,62,35,82.286896,SORT,1
5,1,2,1,3,2,1065,287,32,34,95.044701,BY,1
5,1,2,1,3,3,1116,287,127,35,89.41404,CUSTOMER,1
5,1,2,1,3,4,1260,288,62,34,93.867653,NAME,1
5,1,2,1,4,1,1357,380,64,36,87.845657,OVER,1
5,1,2,1,4,2,1587,380,63,36,88.589409,OVER,1
5,1,2,1,4,3,1817,380,65,35,94.308823,OVER,1
5,1,2,1,4,4,2045,379,64,35,90.310097,OVER,1
5,1,2,1,5,1,103,426,128,35,64.394737,CUSTOMER,1
5,1,2,1,5,2,330,427,62,35,63.980339,DATE,1
5,1,2,1,5,3,445,427,112,35,67.863663,INVOICE,1
5,1,2,1,5,4,574,429,17,33,77.969543,#,1
5,1,2,1,5,5,788,426,33,35,68.028549,TY,1
5,1,2,1,5,6,887,426,96,35,67.390442,AMOUNT,1
5,1,2,1,5,7,1116,426,111,35,30.074844,CURRENT,1
5,1,2,1,5,8,1376,427,28,34,90.963531,5,1
5,1,2,1,5,9,1604,426,29,36,91.824539,30,1
5,1,2,1,5,10,1834,427,31,34,70.77372,45,1
5,1,2,1,5,11,2063,425,29,36,79.181641,99,1
5,1,2,1,6,1,119,612,79,36,90.836288,TOTAL,1
5,1,2,1,6,2,216,612,128,36,92.54805,ACCOUNTS,1
5,1,2,1,6,3,363,627,14,12,96.54039,=,1
5,1,2,1,6,4,398,613,44,36,96.54039,149,1
5,1,2,1,6,5,626,614,79,35,96.72464,GRAND,1
5,1,2,1,6,6,723,612,98,37,90.629128,TOTALS,1
5,1,2,1,6,7,857,586,191,68,36.614071,"4,669,003.78",1
5,1,2,1,6,8,1086,586,189,69,68.676987,"1,956,729.16",1
5,1,2,1,6,9,1297,585,206,70,38.784401,"1.875,793.08",1
5,1,2,1,6,10,1525,586,208,69,63.115585,"495,584.43",1
5,1,2,1,6,11,1756,585,207,69,76.958321,"316,231.94",1
5,1,2,1,6,12,1985,585,203,68,70.187401,"24,665.17",1
5,1,2,1,7,1,625,662,15,32,0.0,%,1
5,1,2,1,7,2,659,660,95,35,96.890747,TOTALS,1
5,1,2,1,7,3,1214,659,28,35,55.79985,4),1
5,1,2,1,7,4,1261,661,16,33,89.060196,%,1
5,1,2,1,7,5,1489,662,15,32,0.0,",",1
